dexter: 78 eps, 6 temporadas no dropdown, 37s
meninas-a: 79 eps, 6 temporadas no dropdown, 37s
meninas-b: 116 eps, 3 temporadas no dropdown, 24s
johnny-bravo: 65 eps, 4 temporadas no dropdown, 28s
coragem: 51 eps, 4 temporadas no dropdown, 28s
du-dudu-edu: 66 eps, 5 temporadas no dropdown, 32s
mansao-foster: 76 eps, 6 temporadas no dropdown, 37s
samurai-jack: 62 eps, 5 temporadas no dropdown, 32s
apenas-um-show: 248 eps, 8 temporadas no dropdown, 46s
fitas-perdidas: 9 eps, 0 temporadas no dropdown, 6s
gumball: 240 eps, 6 temporadas no dropdown, 37s
gumball-novo: 29 eps, 2 temporadas no dropdown, 19s
flapjack: 46 eps, 3 temporadas no dropdown, 23s
titio-avo: 149 eps, 5 temporadas no dropdown, 32s
clarencio: 129 eps, 4 temporadas no dropdown, 28s
ben10-a: 52 eps, 4 temporadas no dropdown, 28s
ben10-b: 154 eps, 4 temporadas no dropdown, 28s
ben10-forca-alienigena: 46 eps, 2 temporadas no dropdown, 19s
looney-tunes-cartoons: 82 eps, 6 temporadas no dropdown, 37s
outra-semana-no-cartoon: 70 eps, 6 temporadas no dropdown, 37s
terras-distantes: 4 eps, 0 temporadas no dropdown, 6s
fionna-e-cake: 20 eps, 2 temporadas no dropdown, 19s
rick-e-morty: 91 eps, 9 temporadas no dropdown, 50s
smiling-friends: 27 eps, 3 temporadas no dropdown, 23s
primal: 30 eps, 3 temporadas no dropdown, 23s
chowder: 49 eps, 3 temporadas no dropdown, 23s
billy-e-mandy: 78 eps, 6 temporadas no dropdown, 37s
